Date,HomeTeam,AwayTeam,FTHG,FTAG,BbAHh,HMargin,H_Bet_Win
170227,Leicester,Liverpool,3,1,1.0,2,True
170304,Liverpool,Arsenal,3,1,-0.25,2,True
170304,Man United,Bournemouth,1,1,-1.75,0,False
170304,West Brom,Crystal Palace,0,2,-0.25,-2,False
170304,Leicester,Hull,3,1,-0.5,2,True
170304,Swansea,Burnley,3,2,-0.5,1,True
170304,Watford,Southampton,3,4,0.25,-1,False
170304,Stoke,Middlesbrough,2,0,-0.5,2,True
170305,Tottenham,Everton,3,2,-1.0,1,False
170305,Sunderland,Man City,0,2,1.5,-2,False
170306,West Ham,Chelsea,1,2,1.0,-1,False
170308,Man City,Stoke,0,0,-1.75,0,False
170311,Bournemouth,West Ham,3,2,-0.25,1,True
170311,Everton,West Brom,3,0,-0.5,3,True
170311,Hull,Swansea,2,1,-0.25,1,True
170312,Liverpool,Burnley,2,1,-1.5,1,False
170318,Stoke,Chelsea,1,2,1.0,-1,False
170318,West Brom,Arsenal,3,1,0.75,2,True
170318,Everton,Hull,4,0,-1.0,4,True
170318,Sunderland,Burnley,0,0,0.0,0,False
170318,Bournemouth,Swansea,2,0,-0.25,2,True
170318,Crystal Palace,Watford,1,0,-0.5,1,True
170318,West Ham,Leicester,2,3,-0.25,-1,False
170319,Tottenham,Southampton,2,1,-1.0,1,False
170319,Middlesbrough,Man United,1,3,1.0,-2,False
170319,Man City,Liverpool,1,1,-0.5,0,False
170401,Liverpool,Everton,3,1,-0.75,2,True
170401,Southampton,Bournemouth,0,0,-1.0,0,False
170401,Man United,West Brom,0,0,-1.5,0,False
170401,Watford,Sunderland,1,0,-0.5,1,True
170401,Chelsea,Crystal Palace,1,2,-1.5,-1,False
170401,Leicester,Stoke,2,0,-0.5,2,True
170401,Burnley,Tottenham,0,2,1.0,-2,False
170401,Hull,West Ham,2,1,-0.25,1,True
170402,Swansea,Middlesbrough,0,0,-0.5,0,False
170402,Arsenal,Man City,2,2,0.25,0,True
170404,Man United,Everton,1,1,-1.0,0,False
170404,Watford,West Brom,2,0,-0.25,2,True
170404,Burnley,Stoke,1,0,-0.25,1,True
170404,Leicester,Sunderland,2,0,-1.5,2,True
170405,Hull,Middlesbrough,4,2,-0.5,2,True
170405,Arsenal,West Ham,3,0,-1.5,3,True
170405,Chelsea,Man City,2,1,-0.25,1,True
170405,Southampton,Crystal Palace,3,1,-0.5,2,True
170405,Swansea,Tottenham,1,3,1.0,-2,False
170405,Liverpool,Bournemouth,2,2,-1.5,0,False
170408,Bournemouth,Chelsea,1,3,1.0,-2,False
170408,Man City,Hull,3,1,-2.0,2,False
170408,Middlesbrough,Burnley,0,0,-0.25,0,False
170408,Stoke,Liverpool,1,2,0.5,-1,False
170408,Tottenham,Watford,4,0,-1.75,4,True
170408,West Brom,Southampton,0,1,0.25,-1,False
170408,West Ham,Swansea,1,0,-0.25,1,True
170409,Sunderland,Man United,0,3,1.5,-3,False
170409,Everton,Leicester,4,2,-0.75,2,True
170410,Crystal Palace,Arsenal,3,0,0.75,3,True
170415,Tottenham,Bournemouth,4,0,-1.75,4,True
170415,Sunderland,West Ham,2,2,0.25,0,True
170415,Stoke,Hull,3,1,-0.5,2,True
170415,Watford,Swansea,1,0,-0.25,1,True
170415,Everton,Burnley,3,1,-1.0,2,True
170415,Crystal Palace,Leicester,2,2,-0.75,0,False
170415,Southampton,Man City,0,3,0.75,-3,False
170416,West Brom,Liverpool,0,1,0.5,-1,False
170416,Man United,Chelsea,2,0,0.0,2,True
170417,Middlesbrough,Arsenal,1,2,1.0,-1,False
170422,West Ham,Everton,0,0,0.25,0,True
170422,Swansea,Stoke,2,0,-0.25,2,True
170422,Bournemouth,Middlesbrough,4,0,-0.5,4,True
170422,Hull,Watford,2,0,-0.5,2,True
170423,Liverpool,Crystal Palace,1,2,-1.0,-1,False
170423,Burnley,Man United,0,2,1.0,-2,False
170425,Chelsea,Southampton,4,2,-1.5,2,True
170426,Middlesbrough,Sunderland,1,0,-0.25,1,True
170426,Arsenal,Leicester,1,0,-1.0,1,False
170426,Crystal Palace,Tottenham,0,1,1.0,-1,False
170427,Man City,Man United,0,0,-0.5,0,False
170429,West Brom,Leicester,0,1,-0.25,-1,False
170429,Sunderland,Bournemouth,0,1,0.25,-1,False
170429,Southampton,Hull,0,0,-1.0,0,False
170429,Crystal Palace,Burnley,0,2,-0.5,-2,False
170429,Stoke,West Ham,0,0,-0.5,0,False
170430,Tottenham,Arsenal,2,0,-0.5,2,True
170430,Middlesbrough,Man City,2,2,1.5,0,True
170430,Everton,Chelsea,0,3,0.25,-3,False
170430,Man United,Swansea,1,1,-1.5,0,False
170501,Watford,Liverpool,0,1,1.0,-1,False
170505,West Ham,Tottenham,1,0,1.5,1,True
170506,Man City,Crystal Palace,5,0,-1.75,5,True
170506,Hull,Sunderland,0,2,-1.0,-2,False
170506,Leicester,Watford,3,0,-1.0,3,True
170506,Bournemouth,Stoke,2,2,-0.25,0,False
170506,Swansea,Everton,1,0,0.25,1,True
170506,Burnley,West Brom,2,2,-0.25,0,False
170507,Liverpool,Southampton,0,0,-1.0,0,False
170507,Arsenal,Man United,2,0,-0.5,2,True
170508,Chelsea,Middlesbrough,3,0,-2.0,3,True
170510,Southampton,Arsenal,0,2,0.5,-2,False
170512,Everton,Watford,1,0,-1.25,1,False
170512,West Brom,Chelsea,0,1,1.25,-1,True
170513,Middlesbrough,Southampton,1,2,0.5,-1,False
170513,Bournemouth,Burnley,2,1,-0.5,1,True
170513,Stoke,Arsenal,1,4,0.75,-3,False
170513,Man City,Leicester,2,1,-2.0,1,False
170513,Sunderland,Swansea,0,2,0.5,-2,False
170514,Crystal Palace,Hull,4,0,-0.5,4,True
170514,Tottenham,Man United,2,1,-0.75,1,True
170514,West Ham,Liverpool,0,4,0.75,-4,False
170515,Chelsea,Watford,4,3,-1.75,1,False
170516,Arsenal,Sunderland,2,0,-2.75,2,False
170516,Man City,West Brom,3,1,-2.5,2,False
170517,Southampton,Man United,0,0,0.0,0,False
170518,Leicester,Tottenham,1,6,0.5,-5,False
170521,Southampton,Stoke,0,1,-0.75,-1,False
170521,Swansea,West Brom,2,1,-0.5,1,True
170521,Man United,Crystal Palace,2,0,-0.25,2,True
170521,Liverpool,Middlesbrough,3,0,-2.5,3,True
170521,Leicester,Bournemouth,1,1,-0.5,0,False
